"","GRTS_ID","lowerleft","upperleft","upperright","lowerright","center"
"729",9741,"19.7193134072525,-155.811350024499","19.7190985373172,-155.763804752316","19.6737920037,-155.764034607467","19.6740068142638,-155.811571039457","19.696553,-155.78769"
"730",9776,"21.3094312313705,-157.765723381783","21.3095631699507,-157.717865930355","21.2640932153524,-157.717731576359","21.2639613166124,-157.76558007101","21.286763,-157.741725"
"731",9789,"19.8082569913945,-155.477968923731","19.8079829884418,-155.430406629657","19.7626686850113,-155.430698581835","19.7629426118679,-155.478252029511","19.785463,-155.454332"
"732",9798,"21.1286666683369,-156.952177954002","21.1286539153601,-156.90435591135","21.0832043018595,-156.904373798561","21.0832170510232,-156.952186897608","21.105936,-156.928274"
"733",9800,"21.4909161673868,-157.909976761947","21.4910738335359,-157.862083621288","21.4455828575742,-157.861922155365","21.4454252395054,-157.909806325916","21.46825,-157.885947"
"734",9809,"19.8974431702706,-155.239503532945","19.897126839535,-155.191924112998","19.8518045779225,-155.192260546509","19.8521208203593,-155.239831113794","19.874624,-155.21588"
"735",9825,"20.8557049499324,-156.570084489792","20.8556243251663,-156.522316205384","20.8102047865745,-156.522405440741","20.8102853875932,-156.570164801666","20.832955,-156.546243"
"736",9833,"19.9003660954646,-155.762884476149","19.9001425509841,-155.71530389599","19.8548194475145,-155.715542946772","19.8550429295848,-155.763114673621","19.877593,-155.739211"
"737",9837,"20.5379413131159,-156.618351963361","20.5378693226214,-156.570646043497","20.4924832283894,-156.570726145722","20.4925551980501,-156.618423165381","20.515213,-156.594537"
"738",9901,"19.6249314552277,-155.146414609298","19.6245988089004,-155.098888508901","19.579301472746,-155.099241858045","19.5796340276568,-155.146759125654","19.602117,-155.122826"
"739",9908,"19.264477775521,-155.433902902322","19.2641962686854,-155.386446656217","19.2189296730801,-155.386746116312","19.2192111041491,-155.434193555437","19.241704,-155.410322"
"740",9917,"19.400574030268,-155.480513089965","19.4003007043677,-155.433030295192","19.3550225446893,-155.43332127226","19.355295796441,-155.480795250178","19.377799,-155.456915"
"741",9919,"22.1178915956008,-159.544957698113","22.1183409446447,-159.496942711192","22.0727749536054,-159.496473837312","22.0723257462744,-159.544479809197","22.095334,-159.520714"
"742",9924,"21.5352871567536,-158.197558486922","21.5354960201748,-158.149656806664","21.4900000025253,-158.149441439996","21.4897912029498,-158.197334147028","21.512644,-158.173498"
"743",9929,"19.8562067279746,-156.048546718108","19.8560338443534,-156.000974526759","19.8107146077099,-156.001160387818","19.8108874431856,-156.048723728891","19.833461,-156.024851"
"744",9937,"20.1728176623772,-155.856769283196","20.1726106389407,-155.809135345232","20.1272615181205,-155.80935718446","20.1274684828598,-155.856982249217","20.15004,-155.833061"
"745",9960,"19.1739482003999,-155.434484100689","19.1736668448776,-155.387045465274","19.1284077532411,-155.387344703167","19.1286890334363,-155.434774538137","19.151179,-155.410912"
"746",9968,"21.6260777827832,-158.245926971626","21.6262953043841,-158.198007419004","21.5807885127912,-158.197782910898","21.5805710580094,-158.245693483614","21.603434,-158.221853"
"747",9984,"21.3096865964692,-157.670008428618","21.309801510905,-157.622150879925","21.2643314843365,-157.622034439566","21.2642166046008,-157.669883031427","21.287009,-157.646019"
"748",10009,"19.5782532977285,-154.956690856288","19.5778870694727,-154.909174133666","19.532594135113,-154.90956266876","19.5329602629942,-154.95707056218","19.555424,-154.933125"
"749",10017,"19.9001425509841,-155.71530389599","19.8999105711888,-155.667723404827","19.8545875324835,-155.66797130887","19.8548194475145,-155.715542946772","19.877366,-155.691635"
"750",10025,"19.8064865189072,-155.192596854843","19.8061619343712,-155.145035262034","19.7608481366515,-155.145380291269","19.7611726310537,-155.19293303807","19.783668,-155.168986"
"751",10033,"19.4473199062964,-155.765182602262","19.4470969779306,-155.717690407197","19.4018145149879,-155.71792857075","19.4020373827126,-155.765411945362","19.424568,-155.741553"
"752",10060,"19.0859728335346,-155.956702672848","19.085783961568,-155.909280629991","19.0405315498326,-155.909482909842","19.0407203714915,-155.956896158222","19.063253,-155.933091"
"753",10064,"21.0830683108465,-157.28687849729","21.0831150577435,-157.239065445068","21.0376705450293,-157.239020743798","21.0376238120746,-157.286824855787","21.06037,-157.262947"
"754",10065,"19.3538454653287,-155.243426473763","19.3535301776223,-155.1959530688","19.3082562820974,-155.196288004788","19.3085714845038,-155.243752596489","19.331051,-155.219855"
"755",10073,"19.5831911442626,-155.764494061435","19.5829680329195,-155.716975385338","19.5376737057842,-155.71721381454","19.5378967559588,-155.764723660346","19.560433,-155.740852"
"756",10075,"22.208115867146,-159.641979526355","22.2085826267051,-159.593946862069","22.1630052251728,-159.593459592271","22.1625386135243,-159.641483234951","22.185561,-159.617717"
"757",10077,"19.6740068142638,-155.811571039457","19.6737920037,-155.764034607467","19.6284895497696,-155.764264377158","19.6287043011325,-155.811791972241","19.651249,-155.787915"
"758",10093,"19.7190985373172,-155.763804752316","19.7188752414088,-155.716259565642","19.6735687694902,-155.716498260938","19.6737920037,-155.764034607467","19.696334,-155.740149"
"759",10102,"20.9467499057856,-156.713282367062","20.9466947087653,-156.665496145547","20.9012652522597,-156.665558657115","20.9013204329404,-156.71333594843","20.924008,-156.689418"
"760",10141,"20.7635178579434,-156.044992617008","20.763343982103,-155.997242725922","20.7179345911789,-155.997429977983","20.718108416066,-156.045170952559","20.740727,-156.021209"
"761",10188,"21.3084608479501,-158.05286684604","21.3086438583792,-158.005009766898","21.26317418137,-158.004821672727","21.2629912261998,-158.0526697953","21.285818,-158.028842"
"762",10225,"19.8968020739553,-155.144344818297","19.8964688735821,-155.096765652138","19.8511467956247,-155.097119790763","19.8514799029942,-155.144690104401","19.873975,-155.12073"
"763",10243,"22.209931527534,-159.449847784","22.2103640349263,-159.40181440754","22.1647860688507,-159.401363225176","22.1643536985289,-159.44938757963","22.187359,-159.425603"
"764",10249,"19.3525338723794,-155.053533613473","19.3521849567578,-155.006060725795","19.3069114251596,-155.006430914118","19.3072602463909,-155.053894988823","19.329723,-155.02998"
"765",10257,"19.581170524238,-155.384347318662","19.5808800621437,-155.336829443674","19.5355863074083,-155.33713851327","19.5358766898792,-155.384647558414","19.558379,-155.360741"
"766",10259,"21.9751574670611,-160.119365046237","21.9757089807913,-160.071379468157","21.9301621452855,-160.070803070546","21.9296108041661,-160.118779645073","21.95266,-160.095082"
"767",10285,"19.4876712103884,-154.957450126981","19.4873051825927,-154.909951059483","19.4420201807856,-154.910339305914","19.4423861087844,-154.957829550769","19.464846,-154.933893"
"768",10293,"19.7178977987517,-155.526079739798","19.7176323735202,-155.478535029993","19.6723262450023,-155.478817925236","19.6725915968998,-155.526353795162","19.695113,-155.502447"
"769",10299,"21.9352055174964,-159.591025986601","21.935662848867,-159.543047218656","21.8901199870341,-159.542570046875","21.8896627984952,-159.59053981341","21.912663,-159.566796"
"770",10317,"20.7643829991753,-156.331493246125","20.7642600131171,-156.283743005238","20.7188503537497,-156.283876757718","20.7189733037658,-156.331618081899","20.741617,-156.307683"
"771",10350,"20.9010487743961,-156.522226936675","20.9009596365408,-156.474449758821","20.8555352136318,-156.474547954329","20.8556243251663,-156.522316205384","20.878292,-156.498385"
"772",10377,"19.8110518478327,-156.096287135815","19.8108874431856,-156.048723728891","19.7655723330649,-156.048900673824","19.7657366920456,-156.096455233728","19.788313,-156.072592"
"773",10381,"20.2179641864618,-155.808913423324","20.2177486521082,-155.761270691573","20.1723951658531,-155.761501489949","20.1726106389407,-155.809135345232","20.19518,-155.785205"
"774",10393,"20.6727037864729,-156.045349221519","20.6725300123963,-155.997617160123","20.6271302134209,-155.997804272383","20.6273039368298,-156.045527423926","20.649917,-156.021575"
"775",10396,"19.1744857167314,-155.529361691663","19.174221157698,-155.481922843908","19.1289619176545,-155.482204480851","19.1292264058552,-155.529634528044","19.151724,-155.505781"
"776",10406,"21.2194791716795,-156.760800350747","21.2194323827218,-156.712960457749","21.1739725633513,-156.713014159489","21.1740193382497,-156.760845102214","21.196726,-156.736905"
"777",10408,"21.5807885127912,-158.197782910898","21.5809974402349,-158.149872254052","21.5354960201748,-158.149656806664","21.5352871567536,-158.197558486922","21.558143,-158.173718"
"778",10416,"21.6727675184649,-157.95858813582","21.6729339110497,-157.91065914511","21.6274213036665,-157.910488453391","21.6272549623239,-157.958408460573","21.650095,-157.934536"
"779",10420,"19.175896705245,-155.813996790563","19.1756825365864,-155.766557384178","19.1304229052609,-155.766786216936","19.1306370165732,-155.814216822448","19.15316,-155.790389"
"780",10424,"21.4458725344589,-157.766153636204","21.4460045932251,-157.718269294313","21.4005188258059,-157.718134789304","21.4003868072128,-157.76601016435","21.423196,-157.742142"
"781",10437,"19.3116983244985,-155.813336204696","19.3114839827968,-155.765870376083","19.2662130444941,-155.766099463799","19.2664273283472,-155.813556481733","19.288956,-155.789716"
"782",10439,"22.120052763346,-159.304881035869","22.1204593232721,-159.256865202061","22.0748926641031,-159.256441404809","22.0744862324109,-159.304448223105","22.097473,-159.280659"
"783",10449,"19.5329602629942,-154.95707056218","19.532594135113,-154.90956266876","19.4873051825927,-154.909951059483","19.4876712103884,-154.957450126981","19.510133,-154.933509"
